opportunity_id,opportunity_name,account_name,rep_name,industry,segment,stage,deal_size,days_in_stage,close_date,created_date,win_loss
1,Deal Alpha,Gabspot,Kienan Schrinel,Healthcare,Mid-Market,Qualification,239570,66,1/27/2024,5/15/2024,Open
2,Deal Beta,Oyoba,Perla Shuter,Healthcare,Mid-Market,Proposal,326504,72,5/24/2024,7/5/2024,Open
3,Deal Delta,Browsetype,Estell Roseby,Financial Services,Enterprise,Proposal,259228,2,8/7/2024,6/21/2023,Open
4,Deal Alpha,Oyoba,Krissy Milner,Professional Services,Mid-Market,Proposal,254119,38,8/2/2025,12/24/2024,Open
5,Deal Alpha,Muxo,Tanya Connerly,Professional Services,Mid-Market,Proposal,461979,19,3/6/2025,9/17/2024,Open
6,Deal Delta,Nlounge,Donovan Pelchat,Professional Services,Enterprise,Proposal,167817,66,4/13/2025,7/21/2023,Open
7,Deal Gamma,Kwideo,Tomasina Rannigan,Technology,Enterprise,Prospecting,20329,54,7/20/2024,10/7/2023,Open
8,Deal Alpha,Twimbo,Hildegarde Barkly,Financial Services,Mid-Market,Qualification,378460,19,8/6/2025,11/13/2024,Open
9,Deal Beta,Jetpulse,Maddy Parminter,Manufacturing,Enterprise,Prospecting,257156,9,2/8/2025,12/13/2023,Open
10,Deal Alpha,Leenti,Eveleen Bolley,Manufacturing,Mid-Market,Negotiation,234401,35,5/10/2025,6/4/2023,Open
11,Deal Gamma,Rhycero,Georgine Lonsdale,Retail,SMB,Proposal,200297,28,12/21/2025,7/23/2023,Open
12,Deal Beta,Wordtune,Obadias Kitney,Professional Services,Enterprise,Proposal,295167,34,4/14/2024,3/15/2024,Open
13,Deal Alpha,Katz,Mohandas Botly,Manufacturing,Mid-Market,Demo,469899,9,10/27/2024,12/12/2023,Open
14,Deal Delta,Jabbertype,Kimberley Full,Healthcare,SMB,Closed Won,401891,75,8/7/2024,1/22/2024,Won
15,Deal Gamma,Brainlounge,Alisander Bradfield,Technology,SMB,Proposal,470017,16,1/21/2025,2/7/2024,Open
16,Deal Delta,Fatz,Brod Bortoloni,Financial Services,Enterprise,Demo,293343,13,11/7/2025,2/26/2024,Open
17,Deal Alpha,Mymm,Alla Dominichelli,Retail,Mid-Market,Prospecting,384190,14,11/30/2024,12/16/2024,Open
18,Deal Delta,Mydo,Hashim McCarroll,Technology,Enterprise,Closed Lost,373763,70,8/30/2024,7/18/2024,Lost
19,Deal Alpha,Dazzlesphere,Eyde Silveston,Financial Services,SMB,Closed Won,7147,11,8/20/2024,12/18/2023,Won
20,Deal Gamma,Photobean,Charyl Noton,Professional Services,SMB,Proposal,40578,86,5/8/2024,4/20/2024,Open
21,Deal Alpha,Skyba,Nate Cable,Financial Services,Mid-Market,Demo,19098,27,6/3/2024,9/23/2023,Open
22,Deal Alpha,Camido,Layton Bignal,Healthcare,Enterprise,Prospecting,40190,87,5/7/2024,6/22/2023,Open
23,Deal Gamma,Midel,Daron Ionn,Retail,SMB,Closed Won,413894,49,6/7/2024,11/11/2024,Won
24,Deal Delta,Brainbox,Sigismundo Whiley,Manufacturing,Enterprise,Demo,257594,88,4/5/2025,3/1/2024,Open
25,Deal Delta,Youopia,Forster Filyushkin,Healthcare,Enterprise,Qualification,286098,34,11/28/2025,8/5/2024,Open
26,Deal Beta,Fadeo,Merrielle Alker,Professional Services,SMB,Proposal,268355,19,4/5/2025,8/10/2023,Open
27,Deal Beta,Jaloo,Matthiew Kinnear,Technology,Enterprise,Negotiation,369244,63,7/21/2024,11/3/2024,Open
28,Deal Gamma,Shuffledrive,Wilhelmina Abbotts,Financial Services,SMB,Proposal,473739,49,1/15/2024,8/23/2024,Open
29,Deal Alpha,Avamm,Meredeth Jouhandeau,Manufacturing,Mid-Market,Qualification,44127,30,8/26/2024,11/2/2023,Open
30,Deal Beta,Fiveclub,Else McPartling,Technology,SMB,Proposal,487716,16,3/18/2025,10/6/2024,Open
31,Deal Beta,Dazzlesphere,Dione Blasiak,Financial Services,SMB,Prospecting,335626,75,8/11/2024,8/2/2023,Open
32,Deal Gamma,Gabtune,Mindy Banaszewski,Manufacturing,Mid-Market,Demo,167843,34,1/13/2025,5/16/2024,Open
33,Deal Alpha,Yamia,Liz Dunkerly,Healthcare,SMB,Qualification,229542,5,4/3/2024,5/31/2024,Open
34,Deal Beta,Chatterbridge,Florrie Ballance,Technology,Enterprise,Demo,277661,32,8/1/2024,8/7/2023,Open
